experiment,block,colony_id_old,colony_id,tagging_date,date_acclimatisation_tracking,date_pretreatment_tracking,date_treatment_tracking,treatment,food_position_1,food_position_2,tracking_system_main,tracking_system_feeding,treatment_starting_time,annotation_start_time,annotation_stop_time,mean_ant_length_px
vital_FCII,1,VII-31,c01,21-Feb-22,07-Mar-22,08-Mar-22,09-Mar-22,cc,control_yellow,control_blue,trojan,esterhase,2022-03-09T11:00:13.139604205Z,2022-03-09T11:00:13.139604205Z,2022-03-09T14:01:12.516817642Z,164.173538109072
vital_FCII,1,VII-36,c02,22-Feb-22,08-Mar-22,09-Mar-22,10-Mar-22,vb,virus_blue,control_yellow,prideaux,esterhase,2022-03-10T11:02:05.214449472Z,2022-03-10T11:02:05.214449472Z,2022-03-10T14:00:25.928851297Z,163.93522078498
vital_FCII,1,VII-21,c03,23-Feb-22,09-Mar-22,10-Mar-22,11-Mar-22,cc,control_yellow,control_blue,guillam,esterhase,2022-03-11T11:01:53.780163512Z,2022-03-11T11:01:53.780163512Z,2022-03-11T12:31:53.780163512Z,157.901736502893
vital_FCII,1,VII-17,c04,24-Feb-22,10-Mar-22,11-Mar-22,12-Mar-22,vy,virus_yellow,control_blue,trojan,esterhase,2022-03-12T11:00:16.180529582Z,2022-03-12T11:00:16.180529582Z,2022-03-12T12:30:16.180529582Z,164.173538109072
vital_FCII,2,VII-27,c05,28-Feb-22,14-Mar-22,15-Mar-22,16-Mar-22,vy,virus_yellow,control_blue,trojan,esterhase,2022-03-16T11:03:11.747024061Z,2022-03-16T11:03:11.747024061Z,2022-03-16T12:33:11.747024061Z,164.173538109072
vital_FCII,2,VII-37,c06,01-Mar-22,15-Mar-22,16-Mar-22,17-Mar-22,cc,control_yellow,control_blue,prideaux,esterhase,2022-03-17T11:04:06.778027984Z,2022-03-17T11:04:06.778027984Z,2022-03-17T12:34:06.778027984Z,163.93522078498
vital_FCII,2,VII-49,c07,02-Mar-22,16-Mar-22,17-Mar-22,18-Mar-22,vb,virus_blue,control_yellow,guillam,esterhase,2022-03-18T11:01:30.825878993Z,2022-03-18T11:01:30.825878993Z,2022-03-18T12:31:30.825878993Z,157.901736502893
vital_FCII,2,VII-23,c08,03-Mar-22,17-Mar-22,18-Mar-22,19-Mar-22,cc,control_yellow,control_blue,trojan,esterhase,2022-03-19T11:01:35.617175232Z,2022-03-19T11:01:35.617175232Z,2022-03-19T12:31:35.617175232Z,164.173538109072
vital_FCII,3,A56,c09,07-Mar-22,21-Mar-22,22-Mar-22,23-Mar-22,cc,control_yellow,control_blue,trojan,esterhase,2022-03-23T11:37:06.658300804Z,2022-03-23T11:37:06.658300804Z,2022-03-23T13:07:06.658300804Z,164.173538109072
vital_FCII,3,A41,c10,08-Mar-22,22-Mar-22,23-Mar-22,24-Mar-22,vy,virus_yellow,control_blue,prideaux,esterhase,2022-03-24T11:00:26.936260442Z,2022-03-24T11:00:26.936260442Z,2022-03-24T12:30:26.936260442Z,163.93522078498
vital_FCII,3,A51,c11,09-Mar-22,23-Mar-22,25-Mar-22,26-Mar-22,cc,control_yellow,control_blue,trojan,esterhase,2022-03-26T11:03:12.080888363Z,2022-03-26T11:03:12.080888363Z,2022-03-26T12:36:41.772863398Z,164.173538109072
vital_FCII,3,A08,c12,10-Mar-22,24-Mar-22,25-Mar-22,16-Mar-22,vb,virus_blue,control_yellow,prideaux,guillam,2022-03-26T11:22:54.825453602Z,2022-03-26T11:22:54.825453602Z,2022-03-26T12:52:54.825453602Z,163.93522078498
vital_FCII,4,A47,c13,14-Mar-22,28-Mar-22,29-Mar-22,30-Mar-22,vb,virus_blue,control_yellow,trojan,esterhase,2022-03-30T11:01:46.749126573Z,2022-03-30T11:01:46.749126573Z,2022-03-30T12:31:46.749126573Z,164.173538109072
vital_FCII,4,A77,c14,15-Mar-22,29-Mar-22,30-Mar-22,31-Mar-22,cc,control_yellow,control_blue,prideaux,esterhase,2022-03-31T11:24:52.266659196Z,2022-03-31T11:24:52.266659196Z,2022-03-31T12:58:21.292501607Z,163.93522078498
vital_FCII,4,A55,c15,16-Mar-22,30-Mar-22,31-Mar-22,01-Apr-22,vy,virus_yellow,control_blue,trojan,esterhase,2022-04-01T11:25:36.750745458Z,2022-04-01T11:25:36.750745458Z,2022-04-01T12:55:36.750745458Z,164.173538109072
vital_FCII,4,A42,c16,17-Mar-22,31-Mar-22,01-Apr-22,02-Apr-22,cc,control_yellow,control_blue,prideaux,esterhase,2022-04-02T11:33:51.055125969Z,2022-04-02T11:33:51.055125969Z,2022-04-02T13:03:51.055125969Z,163.93522078498
vital_FCII,5,A48,c17,21-Mar-22,04-Apr-22,05-Apr-22,06-Apr-22,cc,control_yellow,control_blue,trojan,esterhase,2022-04-06T11:03:22.555679423Z,2022-04-06T11:03:22.555679423Z,2022-04-06T12:33:22.555679423Z,164.173538109072
vital_FCII,5,A54,c18,22-Mar-22,05-Apr-22,06-Apr-22,07-Apr-22,vb,virus_blue,control_yellow,prideaux,esterhase,2022-04-07T11:01:54.241609775Z,2022-04-07T11:01:54.241609775Z,2022-04-07T12:31:54.241609775Z,163.93522078498
vital_FCII,5,A80,c19,23-Mar-22,06-Apr-22,07-Apr-22,08-Apr-22,vy,virus_yellow,control_blue,trojan,esterhase,2022-04-08T11:01:28.059616424Z,2022-04-08T11:01:28.059616424Z,2022-04-08T12:31:28.059616424Z,164.173538109072
vital_FCII,5,A36,c20,24-Mar-22,07-Apr-22,08-Apr-22,09-Apr-22,cc,control_yellow,control_blue,prideaux,esterhase,2022-04-09T11:09:31.424657055Z,NA,NA,163.93522078498
vital_FCII,6,A26,c21,28-Mar-22,11-Apr-22,12-Apr-22,13-Apr-22,vy,virus_yellow,control_blue,trojan,esterhase,2022-04-13T11:14:56.665511601Z,2022-04-13T11:14:56.665511601Z,2022-04-13T12:44:56.665511601Z,164.173538109072
vital_FCII,6,A75,c22,29-Mar-22,14-Apr-22,15-Apr-22,16-Apr-22,cc,control_yellow,control_blue,prideaux,esterhase,2022-04-16T11:06:14.585345355Z,2022-04-16T11:06:14.585345355Z,2022-04-16T12:36:14.585345355Z,163.93522078498
vital_FCII,6,A64,c23,30-Mar-22,17-Apr-22,18-Apr-22,19-Apr-22,cc,control_yellow,control_blue,prideaux,esterhase,2022-04-19T11:06:37.067217970Z,2022-04-19T11:06:37.067217970Z,2022-04-19T12:38:09.259358439Z,163.93522078498
vital_FCII,6,A33,c24,31-Mar-22,15-Apr-22,16-Apr-22,17-Apr-22,vb,virus_blue,control_yellow,trojan,esterhase,2022-04-17T11:02:15.294561718Z,2022-04-17T11:02:15.294561718Z,2022-04-17T12:32:15.294561718Z,164.173538109072
vital_FCII,7,A43,c25,04-Apr-22,18-Apr-22,19-Apr-22,20-Apr-22,cc,control_yellow,control_blue,trojan,esterhase,2022-04-20T11:09:53.162574937Z,2022-04-20T11:09:53.162574937Z,2022-04-20T12:43:38.514042404Z,164.173538109072
vital_FCII,7,A76,c26,05-Apr-22,19-Apr-22,20-Apr-22,21-Apr-22,vy,virus_yellow,control_blue,prideaux,esterhase,2022-04-21T11:15:49.718522822Z,2022-04-21T11:15:49.718522822Z,2022-04-21T12:45:49.718522822Z,163.93522078498
vital_FCII,7,A99,c27,06-Apr-22,21-Apr-22,22-Apr-22,23-Apr-22,vb,virus_blue,control_yellow,trojan,guillam,2022-04-23T11:10:09.203050435Z,2022-04-23T11:10:09.203050435Z,2022-04-23T12:40:09.203050435Z,164.173538109072
vital_FCII,7,A79,c28,07-Apr-22,21-Apr-22,02-Apr-22,23-Apr-22,cc,control_yellow,control_blue,prideaux,esterhase,2022-04-23T11:14:41.574567502Z,2022-04-23T11:14:41.574567502Z,2022-04-23T12:44:41.574567502Z,163.93522078498
trophy,NA,trophy_01,c29,NA,NA,NA,NA,NA,NA,NA,trojan,NA,2022-11-27T12:33:14.020179665Z,2022-11-27T12:33:14.020179665Z,2022-11-27T13:33:14.020179665Z,163.599298635227
